Electricity Type,انواع العدادات,
Period Date,تاريخ الفترة,
Item Name,اسم الصنف,
Customer table cannot be empty,جدول العملاء لا يمكن أن يكون فارغاً,
Customer name is required in row {0},اسم العميل مطلوب في الصف {0},
Item name is required in row {0},اسم الصنف مطلوب في الصف {0},
Please set default company,يرجى تعيين الشركة الافتراضية,
Electricity consumption for meter: {0},استهلاك الكهرباء للعداد: {0},
Sales Invoice {0} created for customer {1},تم إنشاء فاتورة المبيعات {0} للعميل {1},
Failed to create Sales Invoice for customer {0}: {1},فشل في إنشاء فاتورة المبيعات للعميل {0}: {1},
Sales Invoice {0} cancelled,تم إلغاء فاتورة المبيعات {0},
Sales Invoice {0} updated,تم تحديث فاتورة المبيعات {0},
Cannot update submitted Sales Invoice {0},لا يمكن تحديث فاتورة المبيعات المؤكدة {0},
Sales Invoice,فاتورة المبيعات,
Meter Movement,حركة العداد,
Meter Movement Row,صف حركة العداد,
عرض فواتير المبيعات,View Sales Invoices,
Created {0} Sales Invoices,تم إنشاء {0} فاتورة مبيعات,
All Sales Invoices already exist,جميع فواتير المبيعات موجودة بالفعل,
Meter Movement must be submitted to create Sales Invoices,يجب تأكيد حركة العداد لإنشاء فواتير المبيعات,
Failed to create Sales Invoices: {0},فشل في إنشاء فواتير المبيعات: {0},
Sales Invoices cancelled successfully,تم إلغاء فواتير المبيعات بنجاح,
Failed to cancel Sales Invoices: {0},فشل في إلغاء فواتير المبيعات: {0},
